,id,imdb_id,Title,genres,keywords,overview,director,actors
204,446894,tt6182908,Smallfoot,Family Animation Adventure Fantasy,nepal himalayamountainrange musical yeti snow anthropomorphism creature basedonchildren'sbook planecrash,A bright young yeti finds something he thought didn't exist—a human News of this “smallfoot” throws the simple yeti community into an uproar over what else might be out there in the big world beyond their snowy village,KareyKirkpatrick,ChanningTatum JamesCorden Zendaya
205,454293,tt6781982,Night School,Comedy,exam baseballbat dyslexia carcrash prom teacher learningdisability nightschool highschooldropout boxingring,Teddy Walker is a successful salesman whose life takes an unexpected turn when he accidentally blows up his place of employment Forced to attend night school to get his GED Teddy soon finds himself dealing with a group of misfit students his former high school nemesis and a feisty teacher who doesn't think he's too bright,MalcolmD.Lee,KevinHart TiffanyHaddish RobRiggle
206,429203,tt2837574,The Old Man & the Gun,Comedy Crime Drama,"bank texas fbi basedontruestory heist bankrobbery assumedidentity horseranch prisonbreak neo-noir 1980s septuagenarian americanmidwest basedonmagazine,newspaperorarticle nonviolentoffender fingergun smile",The true story of Forrest Tucker from his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public Wrapped up in the pursuit are a detective who becomes captivated with Forrest’s commitment to his craft and a woman who loves him in spite of his chosen profession,DavidLowery,RobertRedford CaseyAffleck DannyGlover
207,429476,tt1999890,Hell Fest,Horror Thriller,halloween psychopath serialkiller slasher amusementpark psycho halloweennight,On Halloween night at a horror theme park a costumed killer begins slaying innocent patrons who believe that it's all part of the festivities,GregoryPlotkin,BexTaylor-Klaus AmyForsyth ReignEdwards
208,670211,tt3554938,Power of the Air,Drama,,An African Missionary shares with a Christian man in the United States how he feels the church in America is in great danger The Christian is very convicted by what he hears and then sets forth a plan to reach his city with the gospel,DaveChristiano,NicholasX.Parsons PattyDuke MichaelGross
209,335983,tt1270797,Venom,ScienceFiction Action,"sanfrancisco,california spacecraft antihero alienlife-form superhero basedoncomic aftercreditsstinger duringcreditsstinger businesstycoon symbiote geneticexperiment",Investigative journalist Eddie Brock attempts a comeback following a scandal but accidentally becomes the host of Venom a violent super powerful alien symbiote Soon he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own,RubenFleischer,TomHardy MichelleWilliams RizAhmed
210,332562,tt1517451,A Star Is Born,Music Drama Romance,countrymusic waitress self-destruction talent popstar concert addiction alcoholism remake deathoffather aspiringsinger singer fame tinnitus fallinginlove insecurity alcoholic deathofmother aspiration deathofparent showbiz emotionalvulnerability hearingimpaired brotherbrotherrelationship,Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight But even as Ally's career takes off the personal side of their relationship is breaking down as Jack fights an ongoing battle with his own internal demons,BradleyCooper,BradleyCooper LadyGaga SamElliott
211,539199,tt8758548,The Great Buster: A Celebration,Documentary Comedy,biography silentfilmstar busterkeaton,A celebration of the life and career of one of America's most influential and celebrated filmmakers and comedians—Buster Keaton—whose singular style and fertile output during the silent era created his legacy as a true cinematic visionary,PeterBogdanovich,
212,427214,tt2404639,The Happy Prince,Drama,"paris,france naples,italy biography victorianengland perioddrama 19thcentury portraitofanartist literaryfigure socialprejudices gaytheme englishwriter lgbtinterest",In 1895 Oscar Wilde (1854-1900) was the most famous writer in London and Bosie Douglas son of the notorious Marquess of Queensberry was his lover Accused and convicted of gross indecency he was imprisoned for two years and subjected to hard labor Once free he abandons England to live in France where he will spend his last years haunted by memories of the past poverty and immense sadness,RupertEverett,RupertEverett ColinFirth ColinMorgan
213,369972,tt1213641,First Man,History Drama,moon basedonnovelorbook nasa obsession sacrifice spacetravel spacemission wife biography engineer moonlanding basedontruestory space cancer astronaut historicalevent deathofdaughter compromise testpilot 1960s apolloprogram,A look at the life of the astronaut Neil Armstrong and the legendary space mission that led him to become the first man to walk on the Moon on July 20 1969,DamienChazelle,RyanGosling ClaireFoy JasonClarke
214,446021,tt6628394,Bad Times at the El Royale,Thriller Drama Mystery Crime,post-traumaticstressdisorder hippie casino audiotape motel vietnamwar jukebox richardnixon concierge payphone storm vacuumcleaner slotmachine ruse motelroom neo-noir 1960s laketahoe,Lake Tahoe 1969 Seven strangers each one with a secret to bury meet at El Royale a decadent motel with a dark past In the course of a fateful night everyone will have one last shot at redemption,DrewGoddard,JeffBridges CynthiaErivo DakotaJohnson
